timestamp,open,high,low,close,volume,SMA_20
2026-01-16 19:00:00,95016.1,95055.9,94842.1,95007.7,71.69890213,
2026-01-16 20:00:00,95007.4,95569.0,94686.0,95567.2,197.01308711,
2026-01-16 21:00:00,95567.1,95600.0,95368.3,95522.5,89.84018951,
2026-01-16 22:00:00,95522.5,95574.6,95263.5,95523.0,83.76324032,
2026-01-16 23:00:00,95523.1,95599.9,95443.0,95560.0,54.08857505,
2026-01-17 00:00:00,95560.1,95585.9,95440.2,95465.1,50.2856467,
2026-01-17 01:00:00,95465.1,95525.0,95355.7,95387.0,78.89482524,
2026-01-17 02:00:00,95387.0,95420.0,95196.5,95354.0,110.80396114,
2026-01-17 03:00:00,95354.0,95381.8,95233.0,95369.0,72.0224245,
2026-01-17 04:00:00,95369.0,95369.1,95260.0,95303.0,60.5738524,
2026-01-17 05:00:00,95303.0,95380.5,95285.0,95317.8,49.59549159,
2026-01-17 06:00:00,95317.9,95348.3,95199.7,95236.0,46.10699043,
2026-01-17 07:00:00,95236.1,95236.1,95027.4,95101.1,174.3698326,
2026-01-17 08:00:00,95101.1,95250.0,95000.0,95244.5,117.52597391,
2026-01-17 09:00:00,95244.6,95283.0,95174.4,95257.0,56.57134216,
2026-01-17 10:00:00,95257.1,95265.3,95116.1,95116.1,49.1833923,
2026-01-17 11:00:00,95116.1,95318.9,95069.0,95318.8,45.23631085,
2026-01-17 12:00:00,95318.9,95405.7,95232.0,95252.9,53.39885362,
2026-01-17 13:00:00,95253.0,95433.0,95195.0,95432.9,67.0397641,
2026-01-17 14:00:00,95433.0,95535.4,95354.0,95472.0,97.20681455,95340.38
2026-01-17 15:00:00,95472.0,95638.0,95417.8,95571.0,166.07357982,95368.54500000001
2026-01-17 16:00:00,95571.0,95571.0,95221.0,95311.5,114.28798508,95355.76000000001
2026-01-17 17:00:00,95311.5,95439.7,95293.9,95364.0,47.59025301,95347.835
2026-01-17 18:00:00,95364.0,95467.7,95353.0,95433.4,24.36971356,95343.35500000001
2026-01-17 19:00:00,95433.4,95433.4,95290.0,95295.4,23.30569641,95330.125
2026-01-17 20:00:00,95295.4,95384.0,95289.4,95374.0,34.12546097,95325.56999999999
2026-01-17 21:00:00,95374.1,95415.0,95286.4,95314.0,24.43330138,95321.92
2026-01-17 22:00:00,95314.0,95314.0,95052.0,95173.1,117.62640403,95312.875
2026-01-17 23:00:00,95173.1,95218.3,95125.7,95153.9,47.6480308,95302.12
2026-01-18 00:00:00,95153.9,95250.0,95065.5,95117.3,108.97322615,95292.83499999999
2026-01-18 01:00:00,95118.0,95118.0,94878.1,94966.8,105.88730936,95275.285
2026-01-18 02:00:00,94966.9,95082.4,94880.0,95027.5,107.89847145,95264.86
2026-01-18 03:00:00,95027.7,95208.9,95027.7,95190.9,63.70229837,95269.35
